name,generic_name,brand_name,category,unit,retail_price,purchase_price,reorder_level,shelf_location,notes

Panadol,Paracetamol,GSK,Tablet,Strip,25.00,18.00,50,A1-01,Analgesic/Antipyretic
Brufen,Ibuprofen,Abbott,Tablet,Strip,35.00,25.00,40,A1-02,NSAID
Aprin,Diclofenac,Hamdard,Tablet,Strip,30.00,22.00,30,A1-03,NSAID
Methrin,Mefenamic Acid,Sami,Tablet,Strip,40.00,28.00,35,A1-04,NSAID
Cataflam,Diclofenac,Novartis,Tablet,Strip,55.00,40.00,25,A1-05,NSAID
Nexium,Esomeprazole,AstraZeneca,Tablet,Strip,120.00,85.00,20,B1-01,PPI
Omepral,Omeprazole,Sami,Tablet,Strip,45.00,32.00,30,B1-02,PPI
Losec,Omeprazole,AstraZeneca,Tablet,Strip,150.00,110.00,15,B1-03,PPI
Risperdal,Risperidone,Johnson & Johnson,Tablet,Strip,180.00,130.00,10,C1-01,Antipsychotic
Valium,Diazepam,Roche,Tablet,Strip,60.00,42.00,20,C1-02,Benzodiazepine
Xanax,Alprazolam,Pfizer,Tablet,Strip,90.00,65.00,15,C1-03,Benzodiazepine
Zepam,Nitrazepam,Roche,Tablet,Strip,50.00,35.00,25,C1-04,Benzodiazepine
Ativan,Lorazepam,Wyeth,Tablet,Strip,70.00,50.00,20,C1-05,Benzodiazepine
Prozac,Fluoxetine,Eli Lilly,Tablet,Strip,200.00,145.00,10,D1-01,SSRI
Zoloft,Sertraline,Pfizer,Tablet,Strip,180.00,130.00,12,D1-02,SSRI
Cipramil,Citalopram,Lundbeck,Tablet,Strip,120.00,85.00,15,D1-03,SSRI
Paxil,Paroxetine,GSK,Tablet,Strip,160.00,115.00,10,D1-04,SSRI
Lexapro,Escitalopram,Lundbeck,Tablet,Strip,220.00,160.00,8,D1-05,SSRI
Duloxetine,Cymbalta,Eli Lilly,Tablet,Strip,250.00,180.00,8,D1-06,SNRI
Venlafaxine,Effexor,Pfizer,Tablet,Strip,180.00,130.00,10,D1-07,SNRI
Amitriptyline,Tryptizol,MSD,Tablet,Strip,30.00,22.00,30,D1-08,TCA
Neurontin,Gabapentin,Pfizer,Tablet,Strip,150.00,110.00,15,D1-09,Anticonvulsant
Tegretol,Carbamazepine,Novartis,Tablet,Strip,80.00,55.00,20,D1-10,Anticonvulsant
Depakote,Valproic Acid,Abbott,Tablet,Strip,100.00,72.00,15,D1-11,Anticonvulsant
Lamictal,Lamotrigine,GSK,Tablet,Strip,200.00,145.00,10,D1-12,Anticonvulsant
Keppra,Levetiracetam,UCB,Tablet,Strip,280.00,200.00,8,D1-13,Anticonvulsant
Dilantin,Phenytoin,Pfizer,Tablet,Strip,45.00,32.00,25,D1-14,Anticonvulsant
Glucophage,Metformin,Merck,Tablet,Strip,60.00,42.00,40,E1-01,Antidiabetic
Daonil,Glibenclamide,Hoechst,Tablet,Strip,25.00,18.00,35,E1-02,Sulfonylurea
Amaryl,Glimepiride,Sanofi,Tablet,Strip,80.00,55.00,25,E1-03,Sulfonylurea
Januvia,Sitagliptin,MSD,Tablet,Strip,350.00,250.00,10,E1-04,DPP-4 Inhibitor
Galvus,Vildagliptin,Novartis,Tablet,Strip,300.00,215.00,12,E1-05,DPP-4 Inhibitor
Jardiance,Empagliflozin,Boehringer,Tablet,Strip,400.00,290.00,8,E1-06,SGLT2 Inhibitor
Forxiga,Dapagliflozin,AstraZeneca,Tablet,Strip,380.00,275.00,8,E1-07,SGLT2 Inhibitor
Glycomet-GP,Glimepiride+Metformin,USV,Tablet,Strip,55.00,38.00,30,E1-08,Combination
Diabetamine,Metformin,Sami,Tablet,Strip,35.00,25.00,40,E1-09,Metformin
Nolvadex,Tamoxifen,AstraZeneca,Tablet,Strip,300.00,215.00,8,F1-01,Anticancer
Methotrexate,Methotrexate,Pfizer,Tablet,Strip,120.00,85.00,10,F1-02,Anticancer
Capecitabine,Xeloda,Roche,Tablet,Strip,800.00,575.00,5,F1-03,Anticancer
Imatinib,Gleevec,Novartis,Tablet,Strip,2500.00,1800.00,3,F1-04,Anticancer
Erlotinib,Tarceva,Roche,Tablet,Strip,3000.00,2150.00,2,F1-05,Anticancer
Letrozole,Femara,Novartis,Tablet,Strip,450.00,325.00,6,F1-06,Anticancer
Anastrozole,Arimidex,AstraZeneca,Tablet,Strip,400.00,290.00,6,F1-07,Anticancer
Exemestane,Aromasin,Pfizer,Tablet,Strip,380.00,275.00,6,F1-08,Anticancer
Bicalutamide,Casodex,AstraZeneca,Tablet,Strip,350.00,250.00,8,F1-09,Anticancer
Nilutamide,Noltam,Sanofi,Tablet,Strip,300.00,215.00,8,F1-10,Anticancer
Doxorubicin,Adriamycin,Pfizer,Injection,Box,500.00,360.00,5,F1-11,Anticancer Injection
Cisplatin,Cisplatin,Fresenius,Injection,Box,200.00,145.00,10,F1-12,Anticancer Injection
Carboplatin,Carboplatin,Fresenius,Injection,Box,350.00,250.00,8,F1-13,Anticancer Injection
Paclitaxel,Taxol,Bristol-Myers,Injection,Box,1200.00,865.00,5,F1-14,Anticancer Injection
5-Fluouracil,5-FU,Various,Injection,Box,80.00,55.00,15,F1-15,Anticancer Injection
Zofran,Ondansetron,GSK,Tablet,Strip,65.00,45.00,25,G1-01,Antiemetic
Emend,Aprepitant,MSD,Tablet,Strip,350.00,250.00,8,G1-02,Antiemetic
Maxolon,Metoclopramide,GSK,Syrup,Bottle,30.00,22.00,30,G1-03,Antiemetic
Domperidone,Motilium,Janssen,Tablet,Strip,45.00,32.00,30,G1-04,Prokinetic
Amoxicillin,Amoxil,GSK,Tablet,Strip,50.00,35.00,40,H1-01,Antibiotic
Azithromycin,Zithromax,Pfizer,Tablet,Strip,80.00,55.00,35,H1-02,Antibiotic
Ciprofloxacin,Ciproxin,Bayer,Tablet,Strip,40.00,28.00,40,H1-03,Antibiotic
Levofloxacin,Tavanic,Sanofi,Tablet,Strip,120.00,85.00,25,H1-04,Antibiotic
Cefixime,Suprax,Sanofi,Tablet,Strip,150.00,110.00,20,H1-05,Cephalosporin
Ceftriaxone,Rocephin,Roche,Injection,Box,90.00,65.00,15,H1-06,Cephalosporin Injection
Augmentin,Amoxicillin+Clavulanate,GSK,Tablet,Strip,120.00,85.00,30,H1-07,Beta-lactam
Moxatag,Amoxicillin+Clavulanate,Abbott,Syrup,Bottle,95.00,68.00,25,H1-08,Beta-lactam Syrup
Ceporex,Cefalexin,GSK,Tablet,Strip,80.00,55.00,25,H1-09,Cephalosporin
Zinacef,Cefuroxime,GSK,Injection,Box,110.00,78.00,15,H1-10,Cephalosporin Injection
Tinidazole,Tinidazole,Various,Tablet,Strip,25.00,18.00,35,H1-11,Antiprotozoal
Metronidazole,Flagyl,Sanofi,Tablet,Strip,15.00,10.00,50,H1-12,Antiprotozoal
Fluconazole,Diflucan,Pfizer,Tablet,Strip,90.00,65.00,20,H1-13,Antifungal
Itraconazole,Sporanox,Janssen,Tablet,Strip,180.00,130.00,12,H1-14,Antifungal
Terbinafine,Lamisil,Novartis,Tablet,Strip,100.00,72.00,20,H1-15,Antifungal
Nystatin,Nystatin,Various,Tablet,Strip,35.00,25.00,25,H1-16,Antifungal
Acyclovir,Zovirax,GSK,Tablet,Strip,80.00,55.00,30,H1-17,Antiviral
Valacyclovir,Valtrex,GSK,Tablet,Strip,200.00,145.00,15,H1-18,Antiviral
Oseltamivir,Tamiflu,Roche,Tablet,Strip,600.00,430.00,5,H1-19,Antiviral
Artemether,Lumefantrine,Novartis,Tablet,Strip,150.00,110.00,20,H1-20,Antimalarial
Chloroquine,Resochin,Bayer,Tablet,Strip,15.00,10.00,30,H1-21,Antimalarial
Atovaquone+Proguanil,Malarone,GSK,Tablet,Strip,500.00,360.00,10,H1-22,Antimalarial
Doxycycline,Vibramycin,Pfizer,Tablet,Strip,60.00,42.00,25,H1-23,Antimalarial/Antibiotic
Albendazole,Alben,GSK,Tablet,Strip,20.00,14.00,40,H1-24,Antihelminthic
Mebendazole,Vermox,Janssen,Tablet,Strip,30.00,22.00,35,H1-25,Antihelminthic
Ivermectin,Ivermectin,Various,Tablet,Strip,40.00,28.00,25,H1-26,Antiparasitic
Praziquantel,Biltricide,Bayer,Tablet,Strip,200.00,145.00,10,H1-27,Antiparasitic
Atenolol,Tenormin,AstraZeneca,Tablet,Strip,35.00,25.00,30,I1-01,Beta-blocker
Metoprolol,Lopressor,Sandoz,Tablet,Strip,40.00,28.00,30,I1-02,Beta-blocker
Bisoprolol,Concor,Merck,Tablet,Strip,55.00,38.00,25,I1-03,Beta-blocker
Carvedilol,Coreg,GSK,Tablet,Strip,80.00,55.00,20,I1-04,Beta-blocker
